trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
296020,33,2,"TREMONT + FRAZIER",,0,4302,shp-33-53,1,2
297010,33,3,"SHUTTLE PARK SOUTH",,1,5001,shp-33-04,1,2
3070,33,1,"SHUTTLE PARK SOUTH",,1,4607,shp-33-04,1,2
321020,14,2,"MOCS EXPRESS",,1,1202,shp-14-04,1,1
324020,14,2,"MOCS EXPRESS",,0,1502,shp-14-53,1,1
340020,9,2,"DOWNTOWN",,1,9602,shp-9-51,1,1
341020,4,2,"EASTGATE HAMILTON PL",,1,5802,shp-4-70,1,1
355020,4,2,"EASTGATE HAMILTON PL",,0,5902,shp-4-13,1,1
36020,14,2,"MOCS EXPRESS",,1,1202,shp-14-04,1,1
379020,14,2,"MOCS EXPRESS",,0,1302,shp-14-52,1,1
389070,14,1,"MOCS EXPRESS",,0,1607,shp-14-51,1,1
414070,15,1,"ST. ELMO/INCLINE",,1,2707,shp-15-01,1,2
433010,34,3,"TREMONT + FRAZIER",,0,5301,shp-34-53,1,2
439020,2,2,"NORTH SHORE",,0,3302,shp-2-51,1,2
444010,33,3,"SHUTTLE PARK SOUTH",,1,4901,shp-33-04,1,2
447010,33,3,"TREMONT + FRAZIER",,0,5001,shp-33-53,1,2
484070,9,1,"EAST LAKE",,0,8907,shp-9-03,1,1
493010,33,3,"TREMONT + FRAZIER",,0,5101,shp-33-53,1,2
514020,33,2,"TREMONT + FRAZIER",,0,4202,shp-33-53,1,2
524070,34,1,"SHUTTLE PARK SOUTH",,1,5307,shp-34-04,1,2
55070,1,1,"ALTON PARK",,0,2507,shp-1-04,1,1
566020,1,2,"ALTON PARK",,0,402,shp-1-03,1,1
573070,33,1,"SHUTTLE PARK SOUTH",,1,4907,shp-33-04,1,2
582020,4,2,"EASTGATE HAMILTON PL",,0,5602,shp-4-13,1,1
585010,4,3,"EASTGATE HAMILTON PL",,0,5601,shp-4-10,1,1
593070,9,1,"DOWNTOWN",,1,9007,shp-9-51,1,1
611020,2,2,"NORTH SHORE",,1,3302,shp-2-01,1,2
612070,1,1,"DOWNTOWN",,1,2407,shp-1-66,1,1
616020,16,2,"NORTHGATE",,0,9602,shp-16-06,1,1
628010,1,3,"ALTON PARK",,0,101,shp-1-03,1,1
645020,4,2,"DOWNTOWN EASTGATE HAMILTON PL",,1,5702,shp-4-73,1,1
649020,13,2,"ROSSVILLE",,0,902,shp-13-03,1,1
663070,1,1,"DOWNTOWN",,1,807,shp-1-66,1,1
675070,4,1,"EASTGATE HAMILTON PL",,0,5807,shp-4-13,1,1
