stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
437,1370,"BROAD + 32ND",,35.019116,-85.321512,,,,,,2
439,2423,"TENN AVE + INCLINE",,35.009160,-85.328060,,,,,,2
440,2373,"ST ELMO + 41ST",,35.006630,-85.328740,,,,,,2
441,2375,"ST ELMO + 42ND",,35.004840,-85.328910,,,,,,2
442,2401,"ST ELMO + THANKFUL",,35.004060,-85.329000,,,,,,2
443,2379,"ST ELMO + 44TH",,35.001900,-85.329190,,,,,,2
444,2381,"ST ELMO + 45TH",,35.000380,-85.329350,,,,,,2
445,2383,"ST ELMO + 46TH",,34.998630,-85.329520,,,,,,2
446,2385,"ST ELMO + 47TH",,34.996740,-85.329740,,,,,,2
447,2387,"ST ELMO + 48TH",,34.995640,-85.330110,,,,,,2
448,2389,"ST ELMO + 49TH",,34.994680,-85.330490,,,,,,2
449,2391,"ST ELMO + 51ST",,34.992500,-85.331020,,,,,,2
450,2395,"ST ELMO + 54TH",,34.989810,-85.331140,,,,,,2
451,2397,"ST ELMO + 55TH",,34.988390,-85.331280,,,,,,2
452,1214,"55TH + ALABAMA",,34.988430,-85.332760,,,,,,2
453,1226,"ALABAMA + 56TH",,34.986920,-85.333280,,,,,,2
454,2626,"56TH + ST ELMO AVENUE",,34.986761,-85.332259,,,,,,2
488,1383,"Broad & 7th Street",,35.048522,-85.310436,,,,,,2
503,1203,"4th & Walnut-1-0",,35.052255,-85.307654,,,,,,2
505,2321,"Riverside Dr. & Riverside Center 1 0",,35.055973,-85.281007,,,,,,2
507,1235,"AMNICOLA + CREEKSIDE",,35.093210,-85.255150,,,,,,2
508,1234,"AMNICOLA + COCA COLA",,35.093850,-85.253010,,,,,,2
511,1262,"BARTON + CREWDSON",,35.063780,-85.297510,,,,,,2
512,1265,"BARTON + MCFARLAND",,35.064310,-85.296550,,,,,,2
513,1267,"BARTON + NORMAL",,35.064910,-85.295180,,,,,,2
514,1266,"BARTON + MISSISSIPPI",,35.065620,-85.293110,,,,,,2
515,1269,"BARTON + RUSSELL",,35.066140,-85.291630,,,,,,2
516,1264,"BARTON + DUGDALE",,35.066660,-85.290080,,,,,,2
517,1933,"HIXSON PK + HANOVER",,35.068350,-85.289360,,,,,,2
519,1896,"HIXSON PK + 1312",,35.070910,-85.289010,,,,,,2
520,1899,"HIXSON PK + 1336",,35.072870,-85.288540,,,,,,2
522,1971,"HIXSON PK + RIVERVIEW",,35.075170,-85.288080,,,,,,2
523,1973,"HIXSON PK + S SHADY",,35.076710,-85.288250,,,,,,2
524,1958,"HIXSON PK + N SHADY",,35.078210,-85.289110,,,,,,2
525,1982,"HIXSON PK + WOODHILL",,35.079620,-85.289630,,,,,,2
526,1901,"HIXSON PK + 1814",,35.081110,-85.289740,,,,,,2
527,1954,"HIXSON PK + MINNEKAHDA",,35.081820,-85.289780,,,,,,2
529,1916,"HIXSON PK + CONTINENTAL",,35.086630,-85.290190,,,,,,2
530,1905,"HIXSON PK + ALTAMONT",,35.088050,-85.288610,,,,,,2
531,1965,"HIXSON PK + RIVER HILL",,35.090330,-85.286760,,,,,,2
532,1935,"HIXSON PK + HAYWOOD",,35.091430,-85.286480,,,,,,2
533,1961,"HIXSON PK + OZARK",,35.094070,-85.285340,,,,,,2
534,1969,"HIXSON PK + RIVERMONT",,35.096050,-85.282440,,,,,,2
536,1952,"HIXSON PK + MEADOW LAKE",,35.100080,-85.277730,,,,,,2
537,1967,"HIXSON PK + RIVERMONT PL",,35.100840,-85.276630,,,,,,2
538,1968,"HIXSON PK + RIVERMONT SCHOOL",,35.101970,-85.275030,,,,,,2
539,1944,"HIXSON PK + LUPTON",,35.104100,-85.273530,,,,,,2
540,1939,"HIXSON PK + INTERMONT",,35.106350,-85.272290,,,,,,2
541,1946,"HIXSON PK + MANCHESTER",,35.108190,-85.271570,,,,,,2
542,1948,"HIXSON PK + MAULDETH",,35.109910,-85.270890,,,,,,2
543,1929,"HIXSON PK + GRACE BIBLE",,35.111540,-85.268970,,,,,,2
544,1978,"HIXSON PK + W FAIRFAX",,35.112130,-85.266740,,,,,,2
546,1941,"HIXSON PK + KENSINGTON",,35.113020,-85.262520,,,,,,2
547,1959,"HIXSON PK + NORCROSS",,35.113350,-85.261300,,,,,,2
549,1902,"HIXSON PK + ACCESS RD",,35.114590,-85.255730,,,,,,2
550,1920,"HIXSON PK + DUPONT ELEM",,35.114790,-85.253280,,,,,,2
551,1984,"HIXSON PK + YMCA",,35.115160,-85.251810,,,,,,2
552,1921,"HIXSON PK + DUPONT PKWY",,35.117130,-85.250270,,,,,,2
553,1931,"HIXSON PK + HAMILL",,35.118400,-85.249650,,,,,,2
554,1909,"HIXSON PK + BAGWELL",,35.121440,-85.248590,,,,,,2
556,1980,"HIXSON PK + WILLIAMS",,35.125100,-85.247450,,,,,,2
557,1914,"HIXSON PK + CLOVERDALE",,35.128500,-85.246380,,,,,,2
568,1217,"5th & Republic Lot",,35.050970,-85.310380,,,,,,2
569,1378,"Broad & Jack's Alley",,35.051668,-85.310504,,,,,,2
570,1915,"HIXSON PK + CLOVERDALE",,35.128750,-85.246550,,,,,,2
571,1981,"HIXSON PK + WILLIAMS",,35.125340,-85.247610,,,,,,2
572,1924,"HIXSON PK + ELY",,35.123090,-85.248310,,,,,,2
573,1910,"HIXSON PK + BAGWELL",,35.121960,-85.248650,,,,,,2
574,1932,"HIXSON PK + HAMILL",,35.118710,-85.249790,,,,,,2
575,1938,"HIXSON PK + HIGHWOOD",,35.114980,-85.253300,,,,,,2
576,1953,"HIXSON PK + TACO BELL",,35.114800,-85.255700,,,,,,2
577,1903,"HIXSON PK + ACCESS RD",,35.114610,-85.256780,,,,,,2
578,1960,"HIXSON PK + NORCROSS",,35.113550,-85.261290,,,,,,2
581,1979,"HIXSON PK + W FAIRFAX",,35.112300,-85.266840,,,,,,2
583,1949,"HIXSON PK + MAULDETH",,35.110140,-85.271030,,,,,,2
584,1956,"HIXSON PK + MUNRO",,35.109340,-85.271390,,,,,,2
585,1947,"HIXSON PK + MANCHESTER",,35.108440,-85.271750,,,,,,2
586,1940,"HIXSON PK + INTERMONT",,35.106610,-85.272450,,,,,,2
587,1945,"HIXSON PK + LUPTON",,35.104380,-85.273610,,,,,,2
589,1911,"HIXSON PK + BLACK OAK",,35.101500,-85.275790,,,,,,2
590,1942,"HIXSON PK + LAWSON",,35.100710,-85.277170,,,,,,2
591,1943,"HIXSON PK + LINDEN HALL",,35.100140,-85.277950,,,,,,2
592,1977,"HIXSON PK + VAN BUREN",,35.099740,-85.278860,,,,,,2
593,1970,"HIXSON PK + RIVERMONT",,35.096460,-85.282230,,,,,,2
594,1962,"HIXSON PK + OZARK",,35.094280,-85.285250,,,,,,2
595,1936,"HIXSON PK + HAYWOOD",,35.091590,-85.286590,,,,,,2
596,1966,"HIXSON PK + RIVER MANOR",,35.090500,-85.286930,,,,,,2
597,1906,"HIXSON PK + ALTAMONT",,35.088210,-85.288700,,,,,,2
598,1917,"HIXSON PK + CONTINENTAL",,35.086910,-85.290240,,,,,,2
599,1922,"HIXSON PK + E DALLAS",,35.081920,-85.290020,,,,,,2
600,1983,"HIXSON PK + WOODHILL",,35.079730,-85.289880,,,,,,2
601,1957,"HIXSON PK + N SHADY",,35.078220,-85.289410,,,,,,2
602,1974,"HIXSON PK + S SHADY",,35.076710,-85.288490,,,,,,2
603,1925,"HIXSON PK + ENGLEWOOD",,35.074580,-85.288460,,,,,,2
605,1934,"HIXSON PK + HANOVER",,35.068710,-85.289500,,,,,,2
606,1919,"HIXSON PK + DUGDALE",,35.066790,-85.290180,,,,,,2
607,1972,"HIXSON PK + RUSSELL",,35.066260,-85.291590,,,,,,2
608,1955,"HIXSON PK + MISSISSIPPI",,35.065760,-85.293030,,,,,,2
609,1268,"BARTON + NORMAL",,35.065030,-85.295140,,,,,,2
610,1263,"BARTON + CREWDSON",,35.063980,-85.297440,,,,,,2
611,1261,"BARTON + BAKER",,35.063130,-85.298840,,,,,,2
612,1993,"Holtzclaw & Cleveland-0",,35.046100,-85.278570,,,,,,2
614,2001,"Holtzclaw & Wilson 0",,35.054550,-85.270640,,,,,,2
626,2516,"Wilcox & Moss 0",,35.048010,-85.240570,,,,,,2
627,2523,"WILCOX + PARKWAY",,35.046905,-85.236113,,,,,,2
628,2506,"WILCOX + DOGWOOD",,35.046162,-85.233635,,,,,,2
630,2502,"WILCOX + DALEWOOD",,35.043738,-85.228595,,,,,,2
631,2532,"WILCOX + TALLEY",,35.042975,-85.224400,,,,,,2
632,1855,"SHALLOWFORD + NORTH MOORE",,35.043397,-85.219155,,,,,,2
690,2345,"Sholar & CARTA 1",,35.055919,-85.268741,,,,,,2
712,1985,"Holtzclaw & 3rd-1",,35.043980,-85.279900,,,,,,2
713,1141,"3rd & Lookout1",,35.053640,-85.306440,,,,,,2
730,2605,"NORTH MARKET + SAWYER",,35.074392,-85.308376,,,,,,2
