feeder_route_short,connector_route_short,feeder_route_long,connector_route_long,n_transfers,total_hei,mean_hei,mean_wait_min,total_wait_min
13,28,Rossville,Amnicola,14,2991.2817699069647,213.6629835647832,8.994047619047619,125.91666666666666
3,10G,Enterprise South,Glenwood,16,2898.6754975632343,181.16721859770215,7.689583333333333,123.03333333333333
9,3,East Lake,Enterprise South,20,2793.741529040313,139.68707645201565,5.5633333333333335,111.26666666666667
10C,9,Campbell Street/Highway 58,East Lake,23,2724.1685295879,118.44210998208261,5.298550724637681,121.86666666666667
3,13,Enterprise South,Rossville,13,2627.9010342045813,202.1462334003524,9.534615384615385,123.95
15,2,St. Elmo/Incline,North Shore,9,2600.772078334422,288.97467537049135,11.487037037037037,103.38333333333334
10A,3,Avondale,Enterprise South,18,2505.54017017972,139.19667612109555,5.933333333333334,106.8
13,10G,Rossville,Glenwood,14,2387.6239132857736,170.54456523469813,7.211904761904762,100.96666666666667
10G,9,Glenwood,East Lake,20,2337.2789374816894,116.86394687408446,5.1033333333333335,102.06666666666666
10G,3,Glenwood,Enterprise South,20,2327.6157336920214,116.38078668460108,5.380833333333333,107.61666666666666
21,3,Golden Gateway,Enterprise South,10,2189.5291386474078,218.95291386474076,9.916666666666668,99.16666666666667
10G,10G,Glenwood,Glenwood,8,2185.592250926865,273.1990313658581,10.927083333333334,87.41666666666667
1,2,Alton Park,North Shore,11,2160.9058340378883,196.4459849125353,7.877272727272728,86.65
10A,13,Avondale,Rossville,14,2157.8833594853577,154.13452567752555,6.447619047619048,90.26666666666667
1,10C,Alton Park,Campbell Street/Highway 58,18,1878.6886159257897,104.37158977365499,4.388888888888889,79.0
2,4,North Shore,Eastgate/Hamilton Pl,7,1815.1567571787143,259.3081081683878,10.497619047619049,73.48333333333333
3,10A,Enterprise South,Avondale,12,1735.658179740399,144.63818164503326,5.784722222222222,69.41666666666667
15,16,St. Elmo/Incline,Northgate Mall,8,1645.2883842460583,205.66104803075729,8.483333333333334,67.86666666666667
16,3,Northgate Mall,Enterprise South,8,1578.9622963931536,197.3702870491442,7.8375,62.7
16,13,Northgate Mall,Rossville,22,1564.312362575626,71.10510738980118,3.1068181818181824,68.35000000000001
28,16,Amnicola,Northgate Mall,7,1558.0395967173504,222.57708524533578,9.519047619047617,66.63333333333333
13,2,Rossville,North Shore,5,1509.868714535568,301.9737429071136,12.133333333333335,60.66666666666667
16,15,Northgate Mall,St. Elmo/Incline,8,1503.7702224517416,187.9712778064677,7.797916666666667,62.38333333333333
9,2,East Lake,North Shore,7,1475.0292543497878,210.71846490711255,8.845238095238095,61.916666666666664
16,16,Northgate Mall,Northgate Mall,4,1435.8521156681395,358.9630289170349,14.933333333333334,59.733333333333334
13,3,Rossville,Enterprise South,6,1225.3963779528062,204.23272965880105,8.188888888888888,49.13333333333333
1,10A,Alton Park,Avondale,24,1175.4204625279951,48.97585260533313,2.0180555555555553,48.43333333333333
3,21,Enterprise South,Golden Gateway,5,1173.7370733707307,234.74741467414614,9.809999999999999,49.05
15,10C,St. Elmo/Incline,Campbell Street/Highway 58,4,1163.2837836053404,290.8209459013351,12.175,48.7
10C,3,Campbell Street/Highway 58,Enterprise South,12,1129.922865365356,94.16023878044633,3.9458333333333333,47.35
2,1,North Shore,Alton Park,7,1097.6229695467814,156.8032813638259,6.695238095238095,46.86666666666667
15,10G,St. Elmo/Incline,Glenwood,5,1037.0952989382165,207.4190597876433,8.48,42.4
3,16,Enterprise South,Northgate Mall,7,1026.9207632543405,146.7029661791915,6.916666666666666,48.416666666666664
9,13,East Lake,Rossville,4,999.9044496647089,249.97611241617722,10.204166666666666,40.81666666666666
2,10A,North Shore,Avondale,6,995.0300545379766,165.8383424229961,7.2,43.2
10A,1,Avondale,Alton Park,14,984.3072309965821,70.30765935689872,3.038095238095238,42.53333333333333
10G,15,Glenwood,St. Elmo/Incline,6,934.6511009592323,155.7751834932054,6.513888888888889,39.083333333333336
16,28,Northgate Mall,Amnicola,5,904.7913180701702,180.95826361403402,7.563333333333333,37.81666666666666
15,10A,St. Elmo/Incline,Avondale,4,833.4118115921125,208.35295289802812,8.6375,34.55
2,9,North Shore,East Lake,4,833.1818618712958,208.29546546782396,8.262500000000001,33.050000000000004
2,13,North Shore,Rossville,2,668.9966666335937,334.49833331679685,13.266666666666667,26.533333333333335
4,2,Eastgate/Hamilton Pl,North Shore,6,662.5550765578502,110.42584609297502,4.405555555555556,26.433333333333334
1,3,Alton Park,Enterprise South,4,656.6262534071828,164.1565633517957,7.383333333333334,29.533333333333335
10A,15,Avondale,St. Elmo/Incline,5,647.5255286481814,129.50510572963628,5.359999999999999,26.799999999999997
28,28,Amnicola,Amnicola,4,548.9079019701958,137.22697549254895,5.758333333333333,23.03333333333333
10C,15,Campbell Street/Highway 58,St. Elmo/Incline,2,455.42150043431286,227.71075021715643,9.075,18.15
28,2,Amnicola,North Shore,3,416.2500224913508,138.75000749711694,6.644444444444445,19.933333333333334
2,28,North Shore,Amnicola,2,374.5865974719512,187.2932987359756,7.458333333333334,14.916666666666668
21,21,Golden Gateway,Golden Gateway,3,263.87408826600233,87.95802942200078,3.488888888888889,10.466666666666667
13,13,Rossville,Rossville,1,191.56118518371207,191.56118518371207,7.816666666666666,7.816666666666666
10G,10A,Glenwood,Avondale,1,134.03893738506545,134.03893738506545,5.366666666666666,5.366666666666666
