stop_id,stop_name,stop_lat,stop_lon,is_sheltered,shade_factor,n_transfers,total_hei,total_hei_p90,mean_hei,mean_wait_min,mean_wbgt
19,Market & Cowart 0,35.04095,-85.30836,False,1.0,214,40714.21410040791,44660.78916322521,190.25333691779397,7.961838006230529,23.89817295202985
2071,Market & epb 0,35.045152,-85.309492,False,1.0,188,36434.446423488735,39960.19303341391,193.80024693345072,8.061081560283688,24.008078721071236
789,Broad & 4th DTS stop,35.052245,-85.310526,False,1.0,186,35954.786160000906,39389.646731973415,193.30530193548873,8.0,24.16447040385875
164,Market & Miller Pk 0-1,35.045161,-85.309383,False,1.0,182,33006.604908921145,36219.68707962095,181.35497202703925,7.5482600732600735,24.04845638547726
165,Market & M.L. King Blv,35.04613,-85.30933,False,1.0,175,31289.456286140135,34336.450074363864,178.7968930636579,7.443428571428571,24.054398702510433
1560,Market & Warehouse Row 0-1,35.042664,-85.309119,False,1.0,137,25724.95581601944,28266.07578030451,187.77340011693022,7.937226277372264,23.63594610405042
283,3rd & Houston1,35.05204,-85.30126,False,1.0,130,23822.88031591785,26215.763590009854,183.25292550706038,7.816923076923077,23.564905428426435
176,3rd & Hampton-1-0,35.048247,-85.291967,False,1.0,129,23131.028342547506,25347.887434480843,179.31029722905043,7.400904392764858,24.174813477864205
143,MARKET + SPS,35.038243,-85.306887,False,1.0,118,21977.893802195584,24084.80930249478,186.25333730674222,7.723446327683616,24.09579196393939
284,3rd & Lindsay 1,35.0526,-85.30262,False,1.0,112,20963.061188938806,23063.127906478036,187.17018918695362,7.987946428571428,23.485153763538026
285,3rd & High 1,35.05355,-85.30533,False,1.0,102,20729.91828999394,22806.206348868058,203.2344930391563,8.673692810457517,23.441353479909264
1361,Market & 8th (Suntrust's) 0-1,35.047378,-85.30946,False,1.0,110,18854.931314170877,20679.109249033045,171.4084664924625,7.093939393939395,24.177360741398292
2056,Market & 12th,35.041943,-85.308768,False,1.0,99,18777.39846857769,20604.333889897185,189.67069160179483,7.96969696969697,23.799447375881186
1354,MARKET + M.L.KING BLVD,35.046098,-85.309438,False,1.0,101,18614.885254789588,20409.898520565348,184.3057946018771,7.656930693069307,24.15436357600631
793,Broad & 3rd Street,35.053381,-85.310866,False,1.0,86,16450.467068490743,18054.462468560843,191.284500796404,8.0,23.91747045288416
2067,Market & 7th 0-1,35.048306,-85.309439,False,1.0,80,15284.816231118026,16763.590678448738,191.0602028889753,7.912708333333333,24.19330497226835
280,3rd & Collins-1,35.0495,-85.294368,False,1.0,93,14402.470069155832,15873.02778489714,154.8652695608154,6.686917562724014,23.30869521834308
279,3rd & Palmetto-1,35.048743,-85.293085,False,1.0,81,13895.677540019242,15299.983810762913,171.5515745681388,7.321810699588476,23.60768678583514
1026,11th & Mariott-0,35.043817,-85.311662,False,1.0,70,13474.841853137754,14768.917563007746,192.49774075911077,8.0,24.06801110313908
274,3rd & Scruggs-1,35.045887,-85.285467,False,1.0,68,12628.271319954349,13893.705687170226,185.70987235226983,7.880637254901961,23.705390054890003
808,Houston & M.L. King Blvd-1-0,35.044639,-85.305557,False,1.0,67,12278.734853842076,13447.181237091818,183.26469931107576,7.530099502487562,24.376040501921157
806,Houston & 11th-1-0,35.042854,-85.306609,False,1.0,67,12258.484445561477,13425.101283424687,182.96245441136531,7.519651741293532,24.33688093484247
275,3rd & O'Neal-1,35.04636,-85.28661,False,1.0,65,12251.335662777592,13466.905338321796,188.48208711965526,7.9715384615384615,23.745545125306574
276,3rd & Central-1,35.046905,-85.288153,False,1.0,64,11939.835607906096,13120.133744291626,186.55993137353275,7.863802083333333,23.787224792956852
2092,Sholar & CARTA 0,35.057641,-85.26793,False,1.0,58,11698.533901914536,12920.348188612814,201.69886037783684,8.862068965517242,22.863530818187947
286,3rd & Walnut1,35.05361,-85.30745,False,1.0,53,11499.15656415016,12662.923464715604,216.96521819151246,9.325157232704402,23.212600564533496
173,4th & Mabel Street,35.050716,-85.300024,False,1.0,80,11303.995679905323,12375.37256561204,141.29994599881655,5.784583333333333,24.41559028389728
281,3rd & CSAS,35.049959,-85.295519,False,1.0,76,11159.266896185542,12311.11061577618,146.83245916033607,6.373464912280702,23.13551144425686
1939,Market & 4th-1-0,35.052444,-85.30966,False,1.0,56,10781.323265756084,11850.681445724478,192.52362974564434,8.182142857142857,23.626650799504368
2232,3rd & Heavenly Wings-1,35.04416,-85.28065,False,1.0,60,9843.340477330179,10868.960999932393,164.05567462216965,7.203055555555555,23.13198404317462
713,3rd & Lookout1,35.05364,-85.30644,False,1.0,45,9414.957601680857,10369.142450830983,209.2212800373524,8.987407407407407,23.224507097394962
287,3rd & Cherry1,35.05359,-85.30854,False,1.0,42,9341.62323067155,10288.179067073803,222.419600730275,9.551587301587302,23.176838224079468
180,3rd & Scruggs-0,35.04582,-85.28556,False,1.0,47,9340.927914342941,10229.437507962935,198.7431471136796,8.170212765957446,24.223643779321545
171,4th & Lindsay-1-0,35.05189,-85.30325,False,1.0,55,9047.130789135406,9940.020243181369,164.49328707518922,6.886060606060607,23.929618825871785
1369,3rd & Palmetto (Outbound),35.048725,-85.293206,False,1.0,47,9025.237691248502,9875.820556038518,192.0263338563511,7.904255319148936,24.34155682932748
2064,Market & Family Dollar-0,35.050758,-85.309626,False,1.0,48,8753.645387250015,9627.537281830131,182.36761223437531,7.765972222222222,23.476394763693786
1360,3rd & CSAS-0,35.050031,-85.295903,False,1.0,50,8638.580333618462,9468.65172830693,172.77160667236924,7.068666666666667,24.296228767668463
1975,Broad & 3rd 1,35.053453,-85.310592,False,1.0,48,8511.590519434232,9328.205044773445,177.32480248821318,7.3069444444444445,24.2912497024125
2044,Holtzclaw & Wilson-1,35.05475,-85.27047,False,1.0,48,8199.156484730009,9043.826280801064,170.81576009854186,7.439930555555556,23.23709485854494
2182,Market & 5th Street,35.050875,-85.309519,False,1.0,50,8177.398263030354,8991.148051022772,163.5479652606071,6.9593333333333325,23.39813862088299
2079,Market & Warehouse Row1,35.043223,-85.309294,False,1.0,38,7901.000217857572,8660.701501583977,207.92105836467294,8.60482456140351,24.22768264931012
2176,Mkt & 1st Horizon Bank,35.048144,-85.309592,False,1.0,38,7579.486360337197,8346.700241157276,199.46016737729465,8.503070175438596,23.431697620742987
2139,Houston & Oak-1-0,35.047758,-85.303651,False,1.0,39,7485.975918024701,8216.606214533756,191.94810046217182,8.001282051282052,23.996864712983964
2068,Market & 8th-1-0,35.047017,-85.309548,False,1.0,36,7157.7821413887705,7844.757610231245,198.82728170524362,8.21712962962963,24.31390256998197
612,Holtzclaw & Cleveland-0,35.0461,-85.27857,False,1.0,44,7031.047324022361,7704.888127237354,159.79653009141728,6.585984848484849,24.267402931375646
2066,Market & Suntrust Bank,35.048072,-85.309406,False,1.0,34,6873.7407089944745,7557.118469561784,202.16884438219043,8.549999999999999,23.607821753650246
